date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:12:27	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2030%20Jan%202022%2017:42:26%20GMT	https://nft-drop.webflow.io/admin/instructions	F:/NFTDROP/nft-drop.webflow.io/admin/instructions	(from https://nft-drop.webflow.io/)
23:12:27	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2030%20Jan%202022%2017:42:26%20GMT	https://nft-drop.webflow.io/401	F:/NFTDROP/nft-drop.webflow.io/401	(from https://nft-drop.webflow.io/)
23:12:28	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2030%20Jan%202022%2017:42:27%20GMT	https://nft-drop.webflow.io/404	F:/NFTDROP/nft-drop.webflow.io/404	(from https://nft-drop.webflow.io/)
23:12:28	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=619f485207368e1139a39a1c	F:/NFTDROP/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c85893.js	(from https://nft-drop.webflow.io/)
23:12:29	598690/598690	---M-Z	200	added ('OK')	text/javascript	etag:%222e2112af2ed6d92d5fd3d80e3ee36654%22	https://assets.website-files.com/619f485207368e1139a39a1c/js/webflow.b96a9853c.js	F:/NFTDROP/assets.website-files.com/619f485207368e1139a39a1c/js/webflow.b96a9853c.js	(from https://nft-drop.webflow.io/)
23:12:29	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2030%20Jan%202022%2017:42:28%20GMT	https://nft-drop.webflow.io/contact	F:/NFTDROP/nft-drop.webflow.io/contact	(from https://nft-drop.webflow.io/)
23:12:30	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2030%20Jan%202022%2017:42:28%20GMT	https://nft-drop.webflow.io/terms-conditions	F:/NFTDROP/nft-drop.webflow.io/terms-conditions	(from https://nft-drop.webflow.io/)
23:12:30	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2030%20Jan%202022%2017:42:28%20GMT	https://nft-drop.webflow.io/admin/style-guide	F:/NFTDROP/nft-drop.webflow.io/admin/style-guide	(from https://nft-drop.webflow.io/)
23:12:30	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2030%20Jan%202022%2017:42:28%20GMT	https://nft-drop.webflow.io/privacy-policy	F:/NFTDROP/nft-drop.webflow.io/privacy-policy	(from https://nft-drop.webflow.io/)
23:12:31	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2030%20Jan%202022%2017:42:29%20GMT	https://nft-drop.webflow.io/404	F:/NFTDROP/nft-drop.webflow.io/404	(from https://nft-drop.webflow.io/)
23:12:31	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2030%20Jan%202022%2017:42:29%20GMT	https://nft-drop.webflow.io/admin/instructions	F:/NFTDROP/nft-drop.webflow.io/admin/instructions	(from https://nft-drop.webflow.io/)
23:12:31	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2030%20Jan%202022%2017:42:29%20GMT	https://nft-drop.webflow.io/admin/licenses	F:/NFTDROP/nft-drop.webflow.io/admin/licenses	(from https://nft-drop.webflow.io/)
23:12:31	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2030%20Jan%202022%2017:42:29%20GMT	https://nft-drop.webflow.io/401	F:/NFTDROP/nft-drop.webflow.io/401	(from https://nft-drop.webflow.io/)
23:12:32	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2030%20Jan%202022%2017:42:30%20GMT	https://nft-drop.webflow.io/privacy-policy	F:/NFTDROP/nft-drop.webflow.io/privacy-policy	(from https://nft-drop.webflow.io/)
23:12:32	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2030%20Jan%202022%2017:42:30%20GMT	https://nft-drop.webflow.io/contact	F:/NFTDROP/nft-drop.webflow.io/contact	(from https://nft-drop.webflow.io/)
23:12:32	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2030%20Jan%202022%2017:42:30%20GMT	https://nft-drop.webflow.io/terms-conditions	F:/NFTDROP/nft-drop.webflow.io/terms-conditions	(from https://nft-drop.webflow.io/)
23:12:32	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2030%20Jan%202022%2017:42:31%20GMT	https://nft-drop.webflow.io/admin/licenses	F:/NFTDROP/nft-drop.webflow.io/admin/licenses	(from https://nft-drop.webflow.io/)
23:12:32	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2030%20Jan%202022%2017:42:30%20GMT	https://nft-drop.webflow.io/admin/style-guide	F:/NFTDROP/nft-drop.webflow.io/admin/style-guide	(from https://nft-drop.webflow.io/)
23:12:33	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2030%20Jan%202022%2017:42:31%20GMT	https://nft-drop.webflow.io/admin/instructions	F:/NFTDROP/nft-drop.webflow.io/admin/instructions	(from https://nft-drop.webflow.io/)
23:12:33	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2030%20Jan%202022%2017:42:32%20GMT	https://nft-drop.webflow.io/401	F:/NFTDROP/nft-drop.webflow.io/401	(from https://nft-drop.webflow.io/)
23:12:33	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2030%20Jan%202022%2017:42:32%20GMT	https://nft-drop.webflow.io/404	F:/NFTDROP/nft-drop.webflow.io/404	(from https://nft-drop.webflow.io/)
